Модель,FPS,Time_ms
LibreDFINEn,36.09,27.71
LibreRFDETRn,48.04,20.82
LibreRTDETRr18,42.65,23.45
LibreRTDETRr34,34.76,28.77
LibreRTDETRr50m,30.9,32.36
LibreRTDETRv2r18,43.49,22.99
LibreRTDETRv2r50m,31.47,31.77
LibreRTDETRv4m,24.68,40.52
LibreRTDETRv4x,14.52,68.88
